"","age","job","marital","education","default","balance","housing","loan","contact","day","month","duration","campaign","pdays","previous","poutcome","y"
"3",0.235294117647059,0.363636363636364,1,0.666666666666667,0,0.0625897638957866,1,0,0,0.5,0,0.0599139357828534,0,0.379587155963303,0.04,0,"no"
"8",0.294117647058824,0.818181818181818,0.5,0.333333333333333,0,0.0464423296331593,1,0,0,0.166666666666667,0.727272727272727,0.0486593843098312,0.0204081632653061,0,0,1,"no"
"11",0.294117647058824,0.636363636363636,0.5,0.333333333333333,0,0.170293016201125,1,0,1,0.633333333333333,0.727272727272727,0.0890433631247931,0,0,0,1,"no"
"13",0.25,0.818181818181818,0.5,0.666666666666667,0,0.0593549079878122,0,0,0,0.4,0.0909090909090909,0.107249255213505,0.0204081632653061,0,0,1,"no"
"14",0.0147058823529412,0.727272727272727,1,0.333333333333333,0,0.0512073663440759,0,0,0,0.966666666666667,0,0.0850711684872559,0,0,0,1,"yes"
"19",0.0882352941176471,0.0909090909090909,1,0,0,0.0415027986201527,1,0,1,0.733333333333333,0.727272727272727,0.0814299900695134,0,0,0,1,"no"
"26",0.323529411764706,0.363636363636364,0.5,0.666666666666667,0,0.123434584770674,0,0,0,0.633333333333333,0.818181818181818,0.0589208871234691,0.0204081632653061,0,0,1,"no"
"27",0.529411764705882,0.0909090909090909,0.5,0,0,0.0528851961718635,1,0,1,0.133333333333333,0.727272727272727,0.0804369414101291,0,0,0,1,"no"
"28",0.705882352941177,0.454545454545455,0.5,1,0,0.0538113582368022,0,0,0.5,0.533333333333333,0.0909090909090909,0.0380668652763985,0,0.121559633027523,0.08,0,"no"
"43",0.485294117647059,0.0909090909090909,0.5,0.333333333333333,0,0.0594622890967906,1,0,0,0.4,0.727272727272727,0.119496855345912,0,0,0,1,"no"
"44",0.191176470588235,0.818181818181818,0.5,0.666666666666667,0,0.0497845666501121,1,0,0,0.4,0.727272727272727,0.0665342601787488,0.0408163265306122,0,0,1,"no"
