"","age","job","marital","education","default","balance","housing","loan","contact","day","month","duration","campaign","pdays","previous","poutcome","y"
"5",0.194805194805195,1,1,1,0,0.0728124489314183,0,0,1,0.133333333333333,0.727272727272727,0.0402602684017893,0,0,0,1,"no"
"7",0.12987012987013,0.363636363636364,1,0.666666666666667,0,0.0768616200315944,1,1,1,0.133333333333333,0.727272727272727,0.0441236274908499,0,0,0,1,"no"
"8",0.311688311688312,0.181818181818182,0,0.666666666666667,1,0.0728215277903873,1,0,1,0.133333333333333,0.727272727272727,0.0772671817812119,0,0,0,1,"no"
"11",0.298701298701299,0,0,0.333333333333333,0,0.0752546619940806,1,0,1,0.133333333333333,0.727272727272727,0.0451403009353396,0,0,0,1,"no"
"14",0.519480519480519,0.818181818181818,0.5,1,0,0.0734479690592486,1,0,1,0.133333333333333,0.727272727272727,0.0144367629117527,0,0,0,1,"no"
"20",0.194805194805195,0.636363636363636,0.5,0.333333333333333,0,0.0728033700724493,1,0,1,0.133333333333333,0.727272727272727,0.010980073200488,0,0,0,1,"no"
"21",0.12987012987013,0.0909090909090909,0.5,0.333333333333333,0,0.0793673851070398,1,1,1,0.133333333333333,0.727272727272727,0.0532736884912566,0,0,0,1,"no"
"23",0.181818181818182,0.0909090909090909,1,0,0,0.0730121838287364,1,1,1,0.133333333333333,0.727272727272727,0.0325335502236682,0,0,0,1,"no"
"29",0.363636363636364,0.363636363636364,1,0.333333333333333,0,0.0705699707660741,1,0,1,0.133333333333333,0.727272727272727,0.0518503456689711,0.0161290322580645,0,0,1,"no"
"30",0.233766233766234,0.818181818181818,1,0.333333333333333,0,0.0752092676992356,1,1,1,0.133333333333333,0.727272727272727,0.0707604717364782,0,0,0,1,"no"
"31",0.506493506493506,0.818181818181818,0.5,0.333333333333333,0,0.0804205327474443,0,1,1,0.133333333333333,0.727272727272727,0.0457503050020333,0,0,0,1,"no"
"36",0.506493506493506,0.818181818181818,0,0.333333333333333,0,0.0733753381874966,1,0,1,0.133333333333333,0.727272727272727,0.0492069947132981,0,0,0,1,"no"
"37",0.0909090909090909,0.0909090909090909,0.5,0.333333333333333,0,0.0727398180596663,1,0,1,0.133333333333333,0.727272727272727,0.074217161447743,0,0,0,1,"no"
"42",0.415584415584416,0.363636363636364,0.5,0.333333333333333,0,0.0732482341619305,1,0,1,0.133333333333333,0.727272727272727,0.0366002440016267,0.0161290322580645,0,0,1,"no"
